Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor
A,2.214,0,0.429,0,0,2.429,0,0.357,1.071,0.357,0,2.934,1.097,2.984
A CAPPELLA,4.333,0,0.222,0.722,0,1.667,0.381,0.429,2.714,3.714,1,4.421,4.167,5.415
AARDVARK,1.625,0.562,1.625,0.062,1.25,4.125,0.176,0.706,2.235,0.059,0.059,4.325,2.259,4.521
ABACK,1.294,0.059,0.294,1.353,0,2.824,0,0,3.273,0.364,0.182,3.007,3.274,3.964
ABACUS,1.556,0.167,3.722,0.278,0.111,3.944,0,2.474,2.632,0.105,0,4.887,3.219,5.314
ABANDON,0.941,0.118,0.294,2.118,0.059,2.176,1.1,0.7,2.45,0.55,0.9,2.744,2.585,3.36
ABANDONED,1.444,0,0.056,1.667,0,2.778,1.316,1.053,2.632,0.895,0.789,3.075,2.839,3.731
ABANDONEE,1.938,0,1.375,0.562,0.25,3.938,0.765,0.882,1.824,0.941,1.059,4.143,2.097,4.315
ABANDONER,0.571,0,0.143,1.643,0,2.214,0.944,1.278,1.722,1,0.444,2.492,2.09,2.909
ABANDONMENT,2.133,0.067,1.2,2.933,0.067,3,0.524,0.429,2.143,0.714,0.333,3.993,2.187,4.201
ABASEMENT,2.833,0.167,0.667,1.25,0.167,3,0.429,0.952,2.143,1.571,0.667,3.733,2.464,4.061
ABBREVIATE,2.4,0,0.15,0.45,0,2.65,0.158,2.105,2,1.789,0.211,3.192,2.847,3.817
ABBREVIATED,1.889,0,0.278,0.444,0,3.111,0.3,0.8,2.2,2.25,0.3,3.331,2.827,3.905
ABBREVIATION,2.737,0.053,0.158,0.474,0,3.947,0,0.444,1.333,1.111,0,4.347,1.565,4.413
ABDICATE,2.333,0.167,0.167,0.417,0.25,3.25,0.933,0.867,2.467,1.533,0.6,3.612,2.728,4.07
ABDOMEN,0.588,0.235,3.294,2.353,0.235,3.647,0.263,1.316,0.947,0.211,4.158,4.603,4.218,5.567
ABDOMINAL,0.933,0.2,3.2,2.733,0.2,3.8,0.333,0.476,0.857,0.381,4.143,4.775,4.159,5.655
ABDOMINALLY,0.412,0.471,0.882,2.059,0.176,1.353,0.158,0.368,0.632,0.316,3.474,2.294,3.483,3.787
ABDUCT,1.737,0,1,0.579,0.105,2.895,1.95,2.55,2.35,1.85,1.7,3.131,3.64,4.289
ABDUCTEE,1.25,0.1,0.6,0.55,0.1,2.9,1.412,1.824,2.353,1.412,1.529,2.99,3.047,3.803
ABDUCTION,2.059,0,1.529,2.176,0,4,1.81,2.333,1.952,1.476,1.333,4.424,3.163,4.909
ABDUCTOR,2.353,0.294,1.824,0.941,0.353,3.059,1.222,2,2.389,1.444,1.222,3.65,3.047,4.253
ABHOR,1.696,0,0.174,2.087,0.174,1.783,0.111,0.222,1.833,1.111,0.111,2.698,1.962,3.007
ABHORRENCE,1.312,0.188,0.5,2.75,0.438,1.5,0.588,0.706,3.529,1.471,0.647,2.987,3.634,4.21
ABHORRENTLY,2.267,0.867,0.467,2.733,1,2.267,0.043,0.087,1.739,1.304,0,3.569,1.956,3.755
ABHORRING,1,0.2,0,3.2,0.2,1.4,0.5,1.062,3.062,1.875,0.688,3.318,3.331,4.189
